"depth (m) ","u (m/s)   ","v (m/s)   ","T (°C)   ","S (g/kg)  ","k (J/kg)  ","eps (W/kg)","num (m2/s)","nuh (m2/s)"
-4.914000000000000E+00,4.386362542179292E-02,-4.076482539355952E-02,2.550788244817363E+00,2.999999999999786E-06,1.828989067181843E-05,4.338388138204770E-08,7.506666738311938E-04,9.417160725636559E-04
-5.040000000000000E+00,4.301644017100292E-02,-4.009342338186550E-02,2.550715999444440E+00,2.999999999999786E-06,1.897681061323859E-05,4.690532293326571E-08,7.446134759330028E-04,9.340166977581569E-04
-5.166000000000000E+00,4.216925492021293E-02,-3.942202137017148E-02,2.550643754071517E+00,2.999999999999786E-06,1.982706842960135E-05,5.197994083221106E-08,7.343719222615661E-04,9.210587869457115E-04
-5.292000000000000E+00,4.124990399183544E-02,-3.865477355410927E-02,2.550583270500905E+00,2.999999999999786E-06,2.067732624596411E-05,5.705455873115641E-08,7.241303685901295E-04,9.081008761332662E-04
-5.418000000000000E+00,4.033055306345794E-02,-3.788752573804706E-02,2.550522786930293E+00,2.999999999999786E-06,2.169970808061101E-05,6.444287746916072E-08,7.082709072646123E-04,8.881026250811049E-04
-5.544000000000000E+00,3.929687542041846E-02,-3.698531757358952E-02,2.550475598714071E+00,2.999999999999786E-06,2.272208991525792E-05,7.183119620716503E-08,6.924114459390951E-04,8.681043740289435E-04
-5.670000000000000E+00,3.826319777737899E-02,-3.608310940913198E-02,2.550428410497849E+00,2.999999999999786E-06,2.386313443088116E-05,8.266207808893402E-08,6.675741341850706E-04,8.368511223095958E-04
-5.795999999999999E+00,3.705726952142988E-02,-3.498969633043353E-02,2.550397161417699E+00,2.999999999999787E-06,2.500417894650439E-05,9.349295997070301E-08,6.427368224310460E-04,8.055978705902482E-04
-5.922000000000000E+00,3.585134126548076E-02,-3.389628325173508E-02,2.550365912337549E+00,2.999999999999787E-06,2.613880642220200E-05,1.101474054256396E-07,6.029089704947430E-04,7.555405000193960E-04
-6.048000000000000E+00,3.430854053490823E-02,-3.245247713118048E-02,2.550354250859704E+00,2.999999999999787E-06,2.727343389789960E-05,1.268018508805762E-07,5.630811185584401E-04,7.054831294485437E-04
